Age,AgeGroup,Gender,MaritalStatus,Education,Education_Label,EducationField,Department,JobRole,JobLevel,BusinessTravel,OverTime,DistanceFromHome,MonthlyIncome,IncomeGroup,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,TenureGroup,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,JobSatisfaction_Label,EnvironmentSatisfaction,EnvironmentSatisfaction_Label,WorkLifeBalance,WorkLifeBalance_Label,JobInvolvement,RelationshipSatisfaction,PerformanceRating,PerformanceRating_Label,Attrition,AttritionBinary,AttritionRiskScore,RiskTier,OverTimeFlag
37,36–45,Male,Divorced,1,Below College,Life Sciences,Research & Development,Research Scientist,3,Travel_Rarely,No,8,4737,Medium,13,0,3,8,8–15 yr,4,1,14,5,2,Medium,2,Medium,3,Better,3,1,3,Excellent,No,0,0.14,Low Risk,0
56,46–60,Male,Single,3,Bachelor,Life Sciences,Research & Development,Healthcare Representative,1,Travel_Rarely,No,1,4305,Medium,20,1,3,3,2–3 yr,1,0,12,2,1,Low,1,Low,3,Better,3,4,3,Excellent,No,0,0.309,Medium Risk,0
40,36–45,Male,Married,4,Master,Marketing,Research & Development,Research Director,3,Non-Travel,No,1,7346,High,20,1,4,8,8–15 yr,4,0,17,9,4,Very High,2,Medium,2,Good,4,4,3,Excellent,No,0,0.034,Low Risk,0
21,18–25,Female,Married,2,College,Medical,Sales,Sales Executive,3,Travel_Rarely,No,4,5614,Medium,21,1,5,2,2–3 yr,1,0,4,5,4,Very High,2,Medium,1,Bad,3,2,3,Excellent,No,0,0.235,Low Risk,0
42,36–45,Female,Married,3,Bachelor,Life Sciences,Human Resources,Manager,3,Travel_Rarely,Yes,1,2392,Low,19,2,2,1,0–1 yr,0,0,9,9,3,High,1,Low,2,Good,4,3,3,Excellent,Yes,1,0.807,High Risk,1
39,36–45,Female,Married,1,Below College,Medical,Research & Development,Research Scientist,1,Non-Travel,No,11,4640,Medium,13,3,2,7,4–7 yr,4,0,16,2,2,Medium,3,High,4,Best,4,2,3,Excellent,No,0,0.25,Low Risk,0
46,46–60,Female,Single,3,Bachelor,Medical,Research & Development,Laboratory Technician,3,Travel_Rarely,No,4,7076,High,21,0,0,3,2–3 yr,2,0,14,5,3,High,3,High,2,Good,3,4,3,Excellent,No,0,0.076,Low Risk,0
41,36–45,Male,Married,3,Bachelor,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Rarely,No,3,4196,Medium,16,0,2,23,15+ yr,12,8,26,3,3,High,4,Very High,3,Better,3,1,3,Excellent,No,0,0.048,Low Risk,0
34,26–35,Male,Married,3,Bachelor,Life Sciences,Research & Development,Research Director,3,Non-Travel,Yes,5,3102,Medium,25,0,4,2,2–3 yr,0,0,11,3,4,Very High,3,High,3,Better,1,3,3,Excellent,No,0,0.672,High Risk,1
26,26–35,Male,Single,3,Bachelor,Human Resources,Sales,Sales Representative,1,Travel_Rarely,No,9,8223,High,12,1,1,15,8–15 yr,6,0,16,9,1,Low,2,Medium,3,Better,3,4,3,Excellent,No,0,0.161,Low Risk,0
34,26–35,Male,Divorced,3,Bachelor,Life Sciences,Research & Development,Research Director,1,Travel_Rarely,Yes,6,5026,Medium,18,0,3,16,15+ yr,12,8,18,9,3,High,2,Medium,3,Better,3,2,4,Outstanding,No,0,0.281,Medium Risk,1
29,26–35,Male,Divorced,2,College,Marketing,Research & Development,Research Director,2,Travel_Rarely,No,12,4382,Medium,20,2,3,1,0–1 yr,0,0,5,1,2,Medium,4,Very High,4,Best,3,3,3,Excellent,No,0,0.521,High Risk,0
31,26–35,Female,Divorced,3,Bachelor,Human Resources,Sales,Sales Executive,1,Travel_Rarely,No,7,2226,Low,25,0,4,9,8–15 yr,5,0,11,3,4,Very High,2,Medium,3,Better,2,1,3,Excellent,No,0,0.173,Low Risk,0
40,36–45,Male,Married,1,Below College,Life Sciences,Sales,Manager,2,Travel_Rarely,Yes,12,3258,Medium,15,0,3,3,2–3 yr,1,0,7,3,4,Very High,4,Very High,3,Better,3,4,3,Excellent,Yes,1,0.778,High Risk,1
49,46–60,Male,Single,4,Master,Life Sciences,Sales,Sales Representative,4,Travel_Rarely,No,9,13196,Very High,12,1,2,14,8–15 yr,7,1,17,6,4,Very High,3,High,2,Good,4,2,3,Excellent,No,0,0.057,Low Risk,0
39,36–45,Male,Married,5,Doctor,Medical,Sales,Sales Executive,2,Travel_Rarely,No,1,5264,Medium,24,1,6,3,2–3 yr,1,0,15,4,3,High,4,Very High,3,Better,4,4,3,Excellent,No,0,0.057,Low Risk,0
26,26–35,Male,Divorced,5,Doctor,Human Resources,Research & Development,Research Director,4,Travel_Frequently,No,1,5224,Medium,24,0,1,8,8–15 yr,6,3,18,7,3,High,3,High,3,Better,3,4,3,Excellent,No,0,0.031,Low Risk,0
39,36–45,Female,Single,4,Master,Other,Research & Development,Research Director,1,Travel_Rarely,No,18,5072,Medium,17,1,4,3,2–3 yr,2,0,12,6,2,Medium,2,Medium,3,Better,3,4,3,Excellent,No,0,0.367,Medium Risk,0
45,36–45,Male,Married,3,Bachelor,Marketing,Research & Development,Research Scientist,1,Travel_Rarely,No,23,2616,Low,13,0,1,1,0–1 yr,0,0,13,9,2,Medium,3,High,3,Better,4,3,3,Excellent,Yes,1,0.548,High Risk,0
31,26–35,Male,Married,4,Master,Life Sciences,Sales,Sales Representative,1,Travel_Rarely,No,10,8326,High,24,0,1,1,0–1 yr,0,0,3,8,1,Low,3,High,3,Better,4,4,3,Excellent,No,0,0.412,Medium Risk,0
34,26–35,Female,Single,2,College,Medical,Research & Development,Laboratory Technician,2,Travel_Rarely,No,10,9666,High,15,0,5,3,2–3 yr,1,0,14,7,2,Medium,4,Very High,3,Better,3,2,3,Excellent,No,0,0.32,Medium Risk,0
36,36–45,Male,Married,3,Bachelor,Medical,Research & Development,Research Director,4,Non-Travel,No,2,5448,Medium,21,1,4,8,8–15 yr,4,2,13,8,1,Low,3,High,3,Better,2,3,3,Excellent,No,0,0.247,Low Risk,0
29,26–35,Male,Divorced,3,Bachelor,Medical,Sales,Sales Representative,1,Travel_Rarely,No,6,2871,Low,19,0,2,5,4–7 yr,4,1,12,0,4,Very High,1,Low,3,Better,4,1,3,Excellent,No,0,0.144,Low Risk,0
41,36–45,Male,Married,3,Bachelor,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes,29,1327,Low,11,3,3,7,4–7 yr,4,0,19,9,4,Very High,4,Very High,2,Good,4,4,3,Excellent,Yes,1,0.561,High Risk,1
35,26–35,Male,Single,4,Master,Life Sciences,Research & Development,Research Scientist,2,Travel_Rarely,No,15,2343,Low,25,1,2,1,0–1 yr,0,0,12,2,2,Medium,4,Very High,1,Bad,2,4,3,Excellent,No,0,0.49,Medium Risk,0
39,36–45,Female,Married,2,College,Technical Degree,Research & Development,Research Director,4,Travel_Frequently,No,2,3521,Medium,12,0,1,3,2–3 yr,1,0,6,4,1,Low,4,Very High,4,Best,4,4,4,Outstanding,No,0,0.252,Medium Risk,0
28,26–35,Female,Single,3,Bachelor,Medical,Research & Development,Manufacturing Director,1,Travel_Rarely,No,2,4206,Medium,15,0,3,0,0–1 yr,0,0,8,8,3,High,3,High,4,Best,3,4,3,Excellent,No,0,0.269,Medium Risk,0
32,26–35,Male,Married,4,Master,Life Sciences,Sales,Sales Executive,1,Travel_Rarely,Yes,5,3340,Medium,24,0,4,10,8–15 yr,6,0,15,7,2,Medium,1,Low,2,Good,4,4,3,Excellent,No,0,0.557,High Risk,1
41,36–45,Female,Divorced,1,Below College,Life Sciences,Research & Development,Healthcare Representative,1,Non-Travel,No,4,2006,Low,14,1,4,27,15+ yr,15,9,31,9,2,Medium,2,Medium,3,Better,3,4,4,Outstanding,No,0,0.16,Low Risk,0
33,26–35,Male,Married,3,Bachelor,Technical Degree,Research & Development,Research Director,2,Travel_Rarely,Yes,3,4270,Medium,11,1,3,3,2–3 yr,1,0,5,6,3,High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.423,Medium Risk,1
49,46–60,Male,Married,4,Master,Marketing,Research & Development,Research Director,2,Travel_Frequently,No,7,6327,High,24,2,3,0,0–1 yr,0,0,4,1,4,Very High,4,Very High,3,Better,3,3,3,Excellent,No,0,0.282,Medium Risk,0
32,26–35,Male,Married,3,Bachelor,Life Sciences,Research & Development,Research Director,4,Travel_Rarely,No,1,8958,High,17,0,2,1,0–1 yr,0,0,5,5,3,High,4,Very High,3,Better,4,1,3,Excellent,No,0,0.187,Low Risk,0
37,36–45,Male,Married,3,Bachelor,Life Sciences,Research & Development,Research Scientist,2,Non-Travel,No,11,1901,Low,19,0,2,6,4–7 yr,3,1,19,3,3,High,3,High,3,Better,3,3,3,Excellent,No,0,0.163,Low Risk,0
43,36–45,Male,Married,2,College,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,No,10,4609,Medium,11,0,2,5,4–7 yr,2,0,19,4,4,Very High,4,Very High,3,Better,3,3,3,Excellent,No,0,0.054,Low Risk,0
24,18–25,Female,Divorced,3,Bachelor,Human Resources,Sales,Sales Executive,2,Travel_Rarely,No,14,2461,Low,18,0,5,9,8–15 yr,5,0,20,4,1,Low,4,Very High,3,Better,2,4,4,Outstanding,No,0,0.314,Medium Risk,0
21,18–25,Female,Married,4,Master,Medical,Research & Development,Research Scientist,1,Non-Travel,No,14,6171,High,19,0,1,1,0–1 yr,0,0,12,3,2,Medium,3,High,3,Better,3,4,3,Excellent,No,0,0.457,Medium Risk,0
23,18–25,Male,Divorced,3,Bachelor,Medical,Sales,Sales Executive,2,Travel_Rarely,Yes,6,7274,High,12,3,2,8,8–15 yr,4,1,11,3,3,High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.179,Low Risk,1
46,46–60,Male,Divorced,3,Bachelor,Medical,Research & Development,Manufacturing Director,5,Non-Travel,No,12,5017,Medium,23,1,3,6,4–7 yr,2,0,17,3,4,Very High,2,Medium,3,Better,1,3,3,Excellent,No,0,0.052,Low Risk,0
31,26–35,Male,Married,1,Below College,Life Sciences,Human Resources,Manager,3,Travel_Rarely,No,5,4020,Medium,11,2,1,2,2–3 yr,1,0,7,1,3,High,4,Very High,3,Better,2,1,3,Excellent,No,0,0.232,Low Risk,0
56,46–60,Male,Divorced,1,Below College,Technical Degree,Research & Development,Manufacturing Director,4,Travel_Frequently,No,24,5462,Medium,16,0,5,4,4–7 yr,2,0,6,0,2,Medium,4,Very High,3,Better,2,2,4,Outstanding,No,0,0.218,Low Risk,0
31,26–35,Male,Single,5,Doctor,Medical,Research & Development,Research Director,3,Travel_Rarely,No,1,1911,Low,24,0,0,0,0–1 yr,0,0,9,1,4,Very High,2,Medium,3,Better,3,2,3,Excellent,No,0,0.239,Low Risk,0
37,36–45,Male,Married,3,Bachelor,Life Sciences,Research & Development,Research Scientist,1,Non-Travel,No,19,4650,Medium,17,0,4,3,2–3 yr,2,0,3,6,3,High,4,Very High,3,Better,3,3,3,Excellent,No,0,0.196,Low Risk,0
48,46–60,Female,Married,3,Bachelor,Life Sciences,Research & Development,Research Director,1,Travel_Rarely,No,2,3430,Medium,12,0,2,12,8–15 yr,6,4,18,0,4,Very High,3,High,3,Better,2,4,3,Excellent,No,0,0.157,Low Risk,0
52,46–60,Male,Married,1,Below College,Medical,Research & Development,Research Director,1,Travel_Rarely,Yes,1,6386,High,15,1,0,3,2–3 yr,1,0,9,5,4,Very High,4,Very High,3,Better,3,3,3,Excellent,No,0,0.443,Medium Risk,1
52,46–60,Male,Divorced,4,Master,Human Resources,Human Resources,Manager,2,Travel_Rarely,No,4,2837,Low,15,0,4,10,8–15 yr,8,1,21,3,3,High,4,Very High,3,Better,3,3,3,Excellent,No,0,0.139,Low Risk,0
45,36–45,Male,Single,4,Master,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,7,2884,Low,17,2,3,5,4–7 yr,2,1,8,1,4,Very High,4,Very High,3,Better,1,2,3,Excellent,No,0,0.452,Medium Risk,1
44,36–45,Male,Single,3,Bachelor,Technical Degree,Human Resources,Human Resources,2,Travel_Frequently,No,2,2314,Low,22,3,0,1,0–1 yr,0,0,9,2,4,Very High,4,Very High,3,Better,3,3,3,Excellent,No,0,0.246,Low Risk,0
40,36–45,Male,Divorced,2,College,Marketing,Human Resources,Manager,3,Travel_Rarely,No,6,3568,Medium,21,0,2,5,4–7 yr,3,2,16,6,4,Very High,3,High,3,Better,3,4,4,Outstanding,No,0,0.083,Low Risk,0
42,36–45,Female,Single,3,Bachelor,Life Sciences,Sales,Sales Representative,4,Travel_Rarely,No,13,3809,Medium,11,1,2,4,4–7 yr,2,0,5,5,2,Medium,1,Low,3,Better,3,4,3,Excellent,No,0,0.266,Medium Risk,0
31,26–35,Male,Single,4,Master,Life Sciences,Sales,Manager,3,Travel_Rarely,No,2,9703,High,20,1,2,3,2–3 yr,1,0,17,5,4,Very High,4,Very High,2,Good,3,1,3,Excellent,No,0,0.099,Low Risk,0
29,26–35,Female,Married,3,Bachelor,Life Sciences,Sales,Sales Executive,4,Travel_Rarely,No,6,4852,Medium,18,0,3,0,0–1 yr,0,0,12,7,1,Low,3,High,1,Bad,3,4,3,Excellent,Yes,1,0.664,High Risk,0
35,26–35,Male,Married,4,Master,Marketing,Sales,Manager,1,Non-Travel,No,3,4183,Medium,15,3,3,3,2–3 yr,2,1,3,7,4,Very High,4,Very High,3,Better,2,2,3,Excellent,No,0,0.104,Low Risk,0
34,26–35,Male,Married,3,Bachelor,Life Sciences,Sales,Manager,1,Travel_Rarely,No,6,3249,Medium,22,0,2,0,0–1 yr,0,0,14,5,3,High,2,Medium,2,Good,3,4,4,Outstanding,No,0,0.415,Medium Risk,0
32,26–35,Male,Divorced,4,Master,Life Sciences,Research & Development,Laboratory Technician,3,Travel_Frequently,No,8,3126,Medium,13,1,2,0,0–1 yr,0,0,2,0,2,Medium,4,Very High,3,Better,4,2,3,Excellent,Yes,1,0.701,High Risk,0
41,36–45,Female,Single,3,Bachelor,Medical,Sales,Manager,2,Travel_Rarely,Yes,3,4518,Medium,23,0,3,3,2–3 yr,1,0,9,9,1,Low,3,High,3,Better,3,4,3,Excellent,Yes,1,0.722,High Risk,1
43,36–45,Male,Divorced,2,College,Marketing,Sales,Sales Executive,1,Travel_Rarely,Yes,29,5304,Medium,23,0,0,2,2–3 yr,0,0,10,6,3,High,4,Very High,3,Better,3,1,3,Excellent,No,0,0.52,High Risk,1
36,36–45,Female,Single,3,Bachelor,Life Sciences,Research & Development,Manufacturing Director,2,Non-Travel,No,6,2686,Low,19,0,3,15,8–15 yr,7,1,16,7,3,High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.155,Low Risk,0
47,46–60,Male,Single,2,College,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,No,13,7365,High,21,2,3,2,2–3 yr,0,0,7,4,2,Medium,2,Medium,3,Better,4,4,3,Excellent,No,0,0.485,Medium Risk,0
26,26–35,Female,Married,4,Master,Medical,Research & Development,Research Scientist,2,Travel_Rarely,No,10,3213,Medium,13,0,2,8,8–15 yr,6,0,10,3,2,Medium,3,High,3,Better,3,2,4,Outstanding,No,0,0.351,Medium Risk,0
34,26–35,Male,Single,4,Master,Medical,Sales,Sales Executive,2,Travel_Rarely,No,15,3860,Medium,17,0,2,4,4–7 yr,3,0,8,6,3,High,4,Very High,3,Better,4,4,4,Outstanding,No,0,0.104,Low Risk,0
30,26–35,Female,Married,3,Bachelor,Technical Degree,Sales,Sales Representative,2,Travel_Rarely,Yes,1,6408,High,20,0,1,7,4–7 yr,4,0,18,5,3,High,4,Very High,2,Good,3,1,3,Excellent,No,0,0.151,Low Risk,1
21,18–25,Male,Married,3,Bachelor,Life Sciences,Research & Development,Healthcare Representative,3,Non-Travel,No,2,4232,Medium,22,0,3,1,0–1 yr,0,0,9,5,3,High,3,High,3,Better,3,4,3,Excellent,No,0,0.203,Low Risk,0
35,26–35,Female,Single,2,College,Technical Degree,Research & Development,Research Scientist,2,Travel_Rarely,No,5,5007,Medium,17,1,3,17,15+ yr,6,2,19,2,4,Very High,4,Very High,2,Good,3,3,3,Excellent,No,0,0.062,Low Risk,0
35,26–35,Male,Divorced,4,Master,Marketing,Research & Development,Laboratory Technician,1,Travel_Rarely,No,15,3359,Medium,24,1,3,4,4–7 yr,3,1,4,9,4,Very High,2,Medium,2,Good,3,4,3,Excellent,No,0,0.206,Low Risk,0
48,46–60,Male,Married,3,Bachelor,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,4194,Medium,20,2,6,10,8–15 yr,5,2,14,3,1,Low,3,High,2,Good,3,4,3,Excellent,No,0,0.32,Medium Risk,0
41,36–45,Male,Divorced,2,College,Marketing,Research & Development,Healthcare Representative,2,Travel_Frequently,No,28,1494,Low,22,1,3,2,2–3 yr,0,0,2,4,3,High,4,Very High,3,Better,3,2,3,Excellent,No,0,0.29,Medium Risk,0
27,26–35,Female,Divorced,3,Bachelor,Medical,Sales,Sales Representative,3,Non-Travel,No,1,2361,Low,18,3,3,0,0–1 yr,0,0,7,8,4,Very High,2,Medium,3,Better,4,3,3,Excellent,No,0,0.249,Low Risk,0
50,46–60,Male,Single,1,Below College,Life Sciences,Sales,Manager,3,Travel_Rarely,Yes,1,8024,High,25,1,1,6,4–7 yr,4,2,12,7,1,Low,3,High,3,Better,4,3,3,Excellent,No,0,0.341,Medium Risk,1
45,36–45,Female,Married,3,Bachelor,Medical,Research & Development,Manufacturing Director,3,Travel_Rarely,No,1,9906,High,20,3,2,0,0–1 yr,0,0,14,2,3,High,4,Very High,3,Better,2,4,3,Excellent,No,0,0.169,Low Risk,0
40,36–45,Male,Married,3,Bachelor,Medical,Research & Development,Research Director,1,Travel_Rarely,Yes,7,2493,Low,18,0,2,3,2–3 yr,0,0,13,5,3,High,4,Very High,4,Best,3,4,3,Excellent,Yes,1,0.739,High Risk,1
34,26–35,Male,Divorced,2,College,Medical,Human Resources,Human Resources,2,Travel_Rarely,Yes,19,4350,Medium,14,1,3,1,0–1 yr,0,0,2,9,4,Very High,2,Medium,2,Good,4,1,3,Excellent,Yes,1,0.467,Medium Risk,1
28,26–35,Male,Divorced,5,Doctor,Life Sciences,Research & Development,Research Scientist,2,Travel_Rarely,Yes,2,5695,Medium,24,3,2,5,4–7 yr,2,0,18,0,3,High,4,Very High,3,Better,2,3,3,Excellent,No,0,0.202,Low Risk,1
33,26–35,Female,Married,2,College,Human Resources,Research & Development,Research Director,2,Non-Travel,Yes,6,6950,High,11,1,3,23,15+ yr,7,1,33,2,4,Very High,3,High,3,Better,3,4,3,Excellent,No,0,0.211,Low Risk,1
44,36–45,Female,Single,2,College,Medical,Research & Development,Healthcare Representative,2,Travel_Rarely,No,1,1783,Low,14,2,3,3,2–3 yr,2,0,11,9,2,Medium,3,High,3,Better,2,3,3,Excellent,No,0,0.3,Medium Risk,0
51,46–60,Female,Married,2,College,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,No,7,3155,Medium,16,0,0,10,8–15 yr,8,1,14,6,4,Very High,4,Very High,2,Good,2,4,3,Excellent,No,0,0.102,Low Risk,0
48,46–60,Male,Divorced,4,Master,Medical,Human Resources,Human Resources,2,Travel_Rarely,Yes,1,4161,Medium,20,2,3,4,4–7 yr,2,0,10,6,3,High,2,Medium,3,Better,4,1,3,Excellent,No,0,0.293,Medium Risk,1
32,26–35,Female,Married,3,Bachelor,Marketing,Research & Development,Research Scientist,3,Travel_Rarely,No,5,8382,High,21,1,1,4,4–7 yr,2,0,7,1,3,High,4,Very High,2,Good,3,3,4,Outstanding,No,0,0.098,Low Risk,0
27,26–35,Female,Divorced,3,Bachelor,Technical Degree,Research & Development,Healthcare Representative,1,Travel_Frequently,No,8,13712,Very High,23,0,3,15,8–15 yr,11,1,26,2,3,High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.069,Low Risk,0
37,36–45,Male,Married,1,Below College,Medical,Research & Development,Research Scientist,3,Travel_Rarely,No,6,5262,Medium,16,0,3,13,8–15 yr,10,5,25,6,4,Very High,4,Very High,3,Better,2,2,3,Excellent,No,0,0.038,Low Risk,0
21,18–25,Female,Single,1,Below College,Human Resources,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,1945,Low,16,0,3,9,8–15 yr,7,4,9,5,1,Low,3,High,3,Better,1,4,3,Excellent,No,0,0.366,Medium Risk,0
38,36–45,Female,Divorced,3,Bachelor,Life Sciences,Sales,Sales Representative,1,Non-Travel,No,1,4807,Medium,24,3,2,2,2–3 yr,1,0,15,6,2,Medium,3,High,2,Good,4,1,3,Excellent,Yes,1,0.63,High Risk,0
34,26–35,Female,Divorced,4,Master,Medical,Human Resources,Manager,5,Travel_Rarely,No,8,15220,Very High,22,1,2,4,4–7 yr,3,0,11,9,4,Very High,3,High,2,Good,3,3,3,Excellent,No,0,0.03,Low Risk,0
32,26–35,Female,Single,4,Master,Human Resources,Research & Development,Research Director,5,Travel_Rarely,No,13,8299,High,17,3,2,1,0–1 yr,0,0,13,8,3,High,4,Very High,2,Good,1,4,4,Outstanding,No,0,0.242,Low Risk,0
23,18–25,Male,Single,1,Below College,Human Resources,Research & Development,Manufacturing Director,1,Non-Travel,No,19,2498,Low,22,0,2,3,2–3 yr,1,0,3,7,2,Medium,3,High,2,Good,4,2,3,Excellent,Yes,1,0.671,High Risk,0
40,36–45,Male,Married,3,Bachelor,Marketing,Sales,Manager,2,Travel_Rarely,Yes,13,7934,High,21,3,6,3,2–3 yr,2,1,5,5,2,Medium,3,High,2,Good,3,1,3,Excellent,No,0,0.426,Medium Risk,1
31,26–35,Female,Married,4,Master,Technical Degree,Research & Development,Manufacturing Director,1,Travel_Frequently,Yes,29,5478,Medium,11,0,2,10,8–15 yr,5,2,15,3,3,High,4,Very High,4,Best,3,4,4,Outstanding,No,0,0.222,Low Risk,1
26,26–35,Male,Married,3,Bachelor,Life Sciences,Research & Development,Research Director,2,Non-Travel,No,4,2942,Low,20,0,5,13,8–15 yr,6,2,20,9,3,High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.148,Low Risk,0
18,18–25,Female,Single,4,Master,Technical Degree,Sales,Sales Executive,3,Travel_Rarely,No,3,7136,High,11,0,5,3,2–3 yr,2,0,10,8,4,Very High,1,Low,2,Good,1,4,4,Outstanding,No,0,0.102,Low Risk,0
35,26–35,Female,Married,2,College,Life Sciences,Human Resources,Manager,5,Travel_Rarely,No,1,12947,Very High,17,3,2,0,0–1 yr,0,0,1,6,1,Low,4,Very High,3,Better,3,4,4,Outstanding,No,0,0.257,Medium Risk,0
50,46–60,Female,Married,4,Master,Life Sciences,Sales,Manager,3,Travel_Rarely,No,4,10648,Very High,22,0,2,11,8–15 yr,6,3,19,4,4,Very High,1,Low,3,Better,3,2,4,Outstanding,No,0,0.018,Low Risk,0
49,46–60,Female,Married,4,Master,Life Sciences,Sales,Manager,2,Non-Travel,No,8,4754,Medium,14,0,4,1,0–1 yr,0,0,4,1,3,High,3,High,3,Better,3,2,3,Excellent,No,0,0.281,Medium Risk,0
32,26–35,Male,Married,4,Master,Medical,Human Resources,Manager,2,Travel_Rarely,No,13,4109,Medium,16,0,2,5,4–7 yr,2,1,8,8,2,Medium,3,High,3,Better,3,1,3,Excellent,No,0,0.298,Medium Risk,0
31,26–35,Male,Divorced,3,Bachelor,Life Sciences,Human Resources,Manager,2,Travel_Rarely,Yes,2,9078,High,16,0,3,0,0–1 yr,0,0,14,6,3,High,2,Medium,2,Good,3,4,3,Excellent,No,0,0.528,High Risk,1
39,36–45,Male,Married,3,Bachelor,Life Sciences,Research & Development,Laboratory Technician,4,Travel_Rarely,No,5,3756,Medium,19,2,1,3,2–3 yr,2,1,16,8,4,Very High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.101,Low Risk,0
28,26–35,Male,Married,4,Master,Life Sciences,Research & Development,Research Director,4,Travel_Rarely,No,8,8566,High,12,1,2,25,15+ yr,13,2,26,8,1,Low,3,High,3,Better,2,4,4,Outstanding,No,0,0.112,Low Risk,0
38,36–45,Male,Married,2,College,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,6,2477,Low,14,1,1,0,0–1 yr,0,0,0,9,4,Very High,2,Medium,3,Better,4,4,3,Excellent,Yes,1,0.815,High Risk,1
42,36–45,Male,Married,3,Bachelor,Medical,Sales,Sales Executive,2,Travel_Rarely,No,2,8372,High,14,3,2,3,2–3 yr,1,0,12,4,4,Very High,4,Very High,4,Best,4,3,3,Excellent,No,0,0.086,Low Risk,0
45,36–45,Female,Single,4,Master,Medical,Sales,Manager,2,Non-Travel,No,12,4319,Medium,17,1,3,2,2–3 yr,1,0,8,6,2,Medium,4,Very High,3,Better,2,2,3,Excellent,Yes,1,0.645,High Risk,0
35,26–35,Female,Married,4,Master,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes,1,7413,High,11,2,6,14,8–15 yr,9,2,24,4,2,Medium,4,Very High,3,Better,4,2,3,Excellent,Yes,1,0.629,High Risk,1
34,26–35,Male,Single,4,Master,Marketing,Research & Development,Research Director,3,Travel_Rarely,No,18,7539,High,15,0,2,12,8–15 yr,9,5,21,2,2,Medium,3,High,2,Good,3,2,3,Excellent,Yes,1,0.486,Medium Risk,0
28,26–35,Male,Divorced,2,College,Human Resources,Research & Development,Research Scientist,2,Travel_Rarely,No,24,2666,Low,24,3,3,1,0–1 yr,0,0,3,9,4,Very High,2,Medium,3,Better,3,2,4,Outstanding,No,0,0.285,Medium Risk,0
29,26–35,Female,Divorced,4,Master,Marketing,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes,3,10019,Very High,21,0,2,0,0–1 yr,0,0,3,7,2,Medium,1,Low,4,Best,4,3,3,Excellent,No,0,0.547,High Risk,1
34,26–35,Male,Married,4,Master,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,No,3,10674,Very High,14,1,2,5,4–7 yr,3,1,15,7,4,Very High,4,Very High,3,Better,2,4,3,Excellent,No,0,0.038,Low Risk,0
38,36–45,Male,Divorced,1,Below College,Marketing,Research & Development,Laboratory Technician,3,Travel_Rarely,No,10,9166,High,12,1,3,2,2–3 yr,1,0,10,8,3,High,4,Very High,2,Good,2,2,3,Excellent,No,0,0.177,Low Risk,0
43,36–45,Male,Divorced,3,Bachelor,Life Sciences,Sales,Manager,1,Non-Travel,No,4,2686,Low,15,0,3,6,4–7 yr,4,0,11,5,4,Very High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.126,Low Risk,0
29,26–35,Male,Divorced,2,College,Life Sciences,Research & Development,Healthcare Representative,4,Travel_Rarely,No,1,5903,Medium,19,0,1,0,0–1 yr,0,0,13,1,3,High,4,Very High,1,Bad,3,3,3,Excellent,No,0,0.193,Low Risk,0
47,46–60,Male,Single,3,Bachelor,Life Sciences,Research & Development,Research Director,4,Travel_Frequently,No,20,7398,High,25,0,4,0,0–1 yr,0,0,0,2,3,High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.184,Low Risk,0
33,26–35,Female,Married,5,Doctor,Technical Degree,Research & Development,Manufacturing Director,4,Non-Travel,No,4,4838,Medium,18,0,3,6,4–7 yr,2,1,14,9,4,Very High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.039,Low Risk,0
35,26–35,Male,Married,3,Bachelor,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Rarely,No,1,11454,Very High,19,1,2,1,0–1 yr,0,0,9,5,4,Very High,3,High,3,Better,2,4,3,Excellent,No,0,0.15,Low Risk,0
30,26–35,Male,Married,4,Master,Life Sciences,Sales,Sales Executive,1,Non-Travel,No,6,4225,Medium,17,3,3,11,8–15 yr,5,1,15,0,3,High,2,Medium,3,Better,3,3,3,Excellent,No,0,0.097,Low Risk,0
